target_issue,draw_date,actual,refit_issue,top1,top20,actual_rank,exact_nll,digit_nll,box20,mini20,hit1,hit3,hit5,hit10,hit20
501,1999-01-29,640,500,205,205 105 204 405 295 202 255 209 005 235 104 200 404 215 605 208 195 245 207 294,568,7.020904602059817,2.341859638564648,0,0,0,0,0,0,0
502,1999-02-01,929,500,831,831 834 821 231 824 131 234 835 134 221 838 121 224 825 811 837 124 881 235 833,404,6.916658091872053,2.2879369805228413,0,0,0,0,0,0,0
503,1999-02-03,782,500,265,265 262 965 215 962 212 915 255 912 252 285 165 235 955 282 665 162 260 065 232,143,6.651597064343101,2.212878338516061,0,1,0,0,0,0,0
504,1999-02-05,947,500,219,219 229 215 213 289 299 217 216 212 239 259 225 223 211 227 285 295 283 293 226,755,7.170017601583286,2.3933295631467626,0,0,0,0,0,0,0
505,1999-02-08,480,500,203,203 253 283 213 233 223 293 273 205 263 003 103 255 903 053 153 285 208 803 953,764,7.144463376857113,2.383170545917473,0,0,0,0,0,0,0
506,1999-02-10,993,500,083,083 093 085 013 033 483 183 983 088 683 095 087 493 003 193 583 993 098 023 082,17,6.310017997405677,2.122043661426699,1,1,0,0,0,0,1
507,1999-02-12,172,500,666,666 676 626 566 576 696 636 066 526 076 665 686 675 616 667 677 966 976 656 026,323,6.8647745078775655,2.284361208140624,0,0,0,0,0,0,0
508,1999-02-15,295,500,194,194 195 094 192 095 197 092 894 895 198 694 695 294 097 295 994 193 892 199 995,15,6.176754558955884,2.0794392775105046,1,1,0,0,0,0,1
509,1999-02-17,831,500,195,195 194 125 198 197 192 124 155 190 175 095 191 154 128 127 115 196 122 135 174,707,7.094551147842137,2.3689226190666064,0,0,0,0,0,0,0
510,1999-02-19,253,500,682,682 982 612 912 882 692 992 812 632 082 932 892 012 182 832 092 112 032 192 132,800,7.1075125201095855,2.3728024873474376,0,0,0,0,0,0,0
511,1999-02-22,914,500,615,615 685 515 616 915 695 585 686 985 516 595 015 115 916 696 995 586 815 085 185,165,6.738595758130875,2.243764988461487,0,0,0,0,0,0,0
512,1999-02-24,947,500,015,015 035 095 085 018 055 915 115 038 098 935 615 215 995 135 017 195 088 025 985,480,6.936958511444691,2.308545839375512,0,0,0,0,0,0,0
513,1999-02-26,900,500,935,935 035 135 635 835 235 995 985 095 085 735 915 925 015 025 195 185 335 695 685,658,7.002579868960532,2.3305654962902476,0,0,0,0,0,0,0
514,1999-03-01,122,500,915,915 918 515 518 985 988 917 115 995 118 912 998 585 588 015 018 517 615 618 913,318,6.861655965052157,2.287412507137135,0,0,0,0,0,0,0
515,1999-03-03,286,500,685,685 625 185 615 125 695 085 025 687 115 655 627 635 195 015 187 681 155 617 985,322,6.84999156525756,2.281778625007142,0,0,0,0,0,0,0
516,1999-03-05,583,500,192,192 992 092 197 997 097 195 122 995 112 095 922 022 127 152 912 182 012 117 132,842,7.126386133329191,2.3780547179302682,0,0,0,0,0,0,0
517,1999-03-08,287,500,995,995 195 985 185 095 925 125 997 695 197 935 945 135 085 145 025 915 987 115 295,86,6.670780300280895,2.227901137460771,0,1,0,0,0,0,0
518,1999-03-10,402,500,995,995 195 095 985 185 695 085 992 935 945 192 295 135 145 998 092 997 685 982 993,771,7.0861444811005905,2.360724981333752,0,0,0,0,0,0,0
519,1999-03-12,658,500,985,985 987 285 685 995 085 185 935 915 287 687 997 087 187 937 917 585 986 982 983,519,6.94393990812733,2.3141150137862296,1,0,0,0,0,0,0
520,1999-03-15,493,500,985,985 987 980 185 995 982 915 187 180 997 990 195 182 992 917 910 115 955 197 912,394,6.885061692587005,2.2920040796035654,0,0,0,0,0,0,0
521,1999-03-17,535,500,925,925 995 985 935 225 295 927 997 285 987 915 235 025 937 095 085 227 922 297 992,224,6.795631064334346,2.2573935659604696,0,1,0,0,0,0,0
522,1999-03-19,073,500,985,985 995 915 185 195 115 935 987 685 997 695 285 295 085 917 615 095 988 982 135,523,6.942508667366479,2.3138516971438867,0,0,0,0,0,0,0
523,1999-03-22,532,500,695,695 095 195 295 995 595 895 697 495 685 097 197 297 085 185 285 997 615 693 985,392,6.89598890726695,2.2980511168609996,0,0,0,0,0,0,0
524,1999-03-24,036,500,197,197 187 117 192 182 112 193 183 113 195 185 115 137 198 188 697 118 132 157 687,466,6.911157794385926,2.30244453723569,0,0,0,0,0,0,0
525,1999-03-26,919,500,687,687 617 697 637 682 612 692 632 685 615 695 635 657 683 613 693 633 087 017 097,300,6.846358816921003,2.28039185184695,0,0,0,0,0,0,0
526,1999-03-29,357,500,982,982 912 932 082 992 012 032 987 983 282 182 917 913 937 092 212 933 682 232 112,685,7.015768485770443,2.3356077430546294,0,0,0,0,0,0,0
527,1999-03-31,593,500,682,682 685 982 985 082 582 683 085 585 612 615 983 083 583 912 692 915 695 182 012,65,6.650801004256904,2.222715110872664,0,0,0,0,0,0,0
528,1999-04-02,743,500,933,933 935 133 135 937 633 033 983 913 635 035 985 993 233 923 915 995 235 925 137,870,7.093448932869111,2.3593364157589627,0,0,0,0,0,0,0
529,1999-04-05,413,500,935,935 035 933 937 985 435 235 932 635 915 033 037 535 925 085 983 987 135 433 437,89,6.705156730856111,2.2386755482914693,0,0,0,0,0,0,0
530,1999-04-07,719,500,995,995 993 997 095 915 093 097 913 917 985 015 983 987 013 017 085 083 087 195 935,668,6.998127479266174,2.3295487985656362,1,0,0,0,0,0,0
531,1999-04-09,835,500,987,987 997 983 287 087 993 982 297 187 097 937 587 992 917 487 197 283 597 083 497,410,6.891033274014298,2.294775258255146,0,0,0,0,0,0,0
532,1999-04-12,277,500,135,135 185 635 685 195 695 115 615 133 183 633 683 935 985 035 085 235 285 193 693,540,6.9503861521303225,2.316077136643361,0,0,0,0,0,0,0
533,1999-04-14,200,500,995,995 993 095 695 195 093 693 992 985 193 495 935 915 983 092 895 692 085 685 493,840,7.0769226247916315,2.3624169551402128,0,0,0,0,0,0,0
534,1999-04-16,432,500,917,917 915 937 987 997 935 985 617 995 913 017 117 916 615 417 637 015 933 687 037,199,6.781556441747197,2.2612508567117757,0,0,0,0,0,0,0
535,1999-04-19,205,500,997,997 937 297 917 237 995 097 935 993 957 037 217 933 987 295 697 497 915 235 637,137,6.7440236704625205,2.2497882898578996,0,0,0,0,0,0,0
536,1999-04-21,951,500,995,995 915 195 115 095 495 295 015 415 215 935 135 997 917 035 435 197 235 985 993,329,6.84948640287378,2.2810234255682653,1,0,0,0,0,0,0
537,1999-04-23,998,500,995,995 985 915 935 992 982 912 932 993 983 913 295 285 215 095 933 085 015 235 292,37,6.601350611036241,2.2073158926731833,0,0,0,0,0,0,0
538,1999-04-26,628,500,935,935 937 235 995 237 035 997 933 295 135 932 930 037 297 233 137 915 095 232 985,857,7.085914158776578,2.36619789227865,0,0,0,0,0,0,0
539,1999-04-28,435,500,987,987 187 287 997 937 197 137 985 957 185 157 297 237 285 257 995 935 195 135 955,91,6.691314078597115,2.2340469952434625,0,1,0,0,0,0,0
540,1999-04-30,154,500,995,995 915 997 935 917 905 937 295 907 215 993 985 955 297 095 235 913 217 015 205,860,7.108398333718578,2.3705913775107934,0,0,0,0,0,0,0
541,1999-05-03,033,500,195,195 295 095 192 292 115 197 995 198 215 297 185 298 285 092 135 015 097 235 098,199,6.764769820885261,2.2562331979125805,0,0,0,0,0,0,0
542,1999-05-05,614,500,035,035 935 095 535 995 235 595 295 635 435 033 015 695 495 037 933 093 915 533 515,545,6.955590225610906,2.3142665007890173,0,0,0,0,0,0,0
543,1999-05-07,362,500,133,133 135 138 132 137 113 115 433 435 933 935 193 195 136 183 185 633 635 033 233,971,7.233615760951878,2.420019614327275,0,0,0,0,0,0,0
544,1999-05-10,269,500,637,637 635 537 237 535 235 937 935 037 035 437 435 137 135 633 837 835 697 533 233,818,7.068757343518838,2.355192865175288,0,0,0,0,0,0,0
545,1999-05-12,838,500,933,933 932 433 233 937 033 935 633 133 432 983 232 032 993 437 632 237 132 037 982,360,6.867201361483682,2.285077702040185,0,0,0,0,0,0,0
546,1999-05-14,098,500,635,635 235 615 035 135 215 637 935 835 015 633 237 435 695 115 617 037 915 632 233,266,6.832585167453146,2.277246740381779,0,0,0,0,0,0,0
547,1999-05-17,806,500,235,235 935 035 535 635 237 435 937 037 295 537 238 637 995 095 595 938 038 437 695,840,7.077247757059232,2.3624018503356985,0,0,0,0,0,0,0
