cycle,generated_at,dataset_fingerprint,latest_issue,evaluated_draws,duration_seconds,top1_hits,top1_rate,top20_hits,top20_rate,exact_nll,uniform_exact_nll,nll_improvement_vs_uniform
1,2026-08-22T08:12:07+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.502,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
2,2026-08-22T08:12:43+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.097,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
3,2026-08-22T08:13:18+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.091,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
4,2026-08-22T08:13:54+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.118,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
5,2026-08-22T08:14:29+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.097,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
6,2026-08-22T08:15:04+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.066,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
7,2026-08-22T08:15:40+09:00,948bef1e8ef21bf4ad2b,7054,6554,34.941,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
8,2026-08-22T08:16:15+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.068,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
9,2026-08-22T08:16:51+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.076,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
10,2026-08-22T08:17:26+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.067,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
11,2026-08-22T08:18:01+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.125,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
12,2026-08-22T08:18:37+09:00,948bef1e8ef21bf4ad2b,7054,6554,34.998,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
13,2026-08-22T08:19:12+09:00,948bef1e8ef21bf4ad2b,7054,6554,34.926,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
14,2026-08-22T08:19:48+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.394,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
15,2026-08-22T08:20:23+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.41,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
16,2026-08-22T08:20:59+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.535,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
17,2026-08-22T08:21:35+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.25,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
18,2026-08-22T08:22:11+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.43,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
19,2026-08-22T08:22:46+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.15,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
20,2026-08-22T08:23:22+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.806,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
21,2026-08-22T08:23:58+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.471,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
22,2026-08-22T08:24:34+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.395,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
23,2026-08-22T08:25:09+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.192,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
24,2026-08-22T08:25:45+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.111,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
25,2026-08-22T08:26:20+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.047,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
26,2026-08-22T08:26:56+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.165,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
27,2026-08-22T08:27:31+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.072,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
28,2026-08-22T08:28:07+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.248,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
29,2026-08-22T08:28:42+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.132,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
30,2026-08-22T08:29:18+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.041,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
31,2026-08-22T08:29:53+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.085,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
32,2026-08-22T08:30:29+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.176,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
33,2026-08-22T08:31:04+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.237,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
34,2026-08-22T08:31:40+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.612,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
35,2026-08-22T08:32:15+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.024,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
36,2026-08-22T08:32:51+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.068,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
37,2026-08-22T08:33:26+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.011,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
38,2026-08-22T08:34:02+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.034,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
39,2026-08-22T08:34:37+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.24,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
40,2026-08-22T08:35:13+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.194,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
41,2026-08-22T08:35:48+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.245,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
42,2026-08-22T08:36:24+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.167,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
43,2026-08-22T08:36:59+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.19,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
44,2026-08-22T08:37:35+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.006,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
45,2026-08-22T08:38:10+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.024,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
46,2026-08-22T08:38:45+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.03,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
47,2026-08-22T08:39:21+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.056,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
48,2026-08-22T08:39:56+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.089,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
49,2026-08-22T08:40:32+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.325,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
50,2026-08-22T08:41:07+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.151,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
51,2026-08-22T08:41:43+09:00,948bef1e8ef21bf4ad2b,7054,6554,35.419,9,0.001373,135,0.020598,6.94205711,6.90775528,-0.03430183
